booking_id,number_of_weekend_nights,type_of_meal,room_type,market_segment_type,num_previous_cancellations,average_price,number_of_week_nights,number_of_adults,number_of_children,car_parking_space,lead_time,is_repeat_guest,num_previous_bookings_not_canceled,special_requests,month_of_reservation,day_of_week,split
INN06039,0,Meal Plan 1,Room_Type 1,Online,0,70.07,2,2,0,0,11,0,0,0,Jan,Friday,train
INN20577,0,Meal Plan 2,Room_Type 1,Offline,0,138.0,3,3,0,0,88,0,0,1,May,Thursday,train
INN02886,2,Not Selected,Room_Type 1,Online,0,81.0,5,2,0,0,14,0,0,1,Feb,Wednesday,train
INN03468,4,Meal Plan 1,Room_Type 1,Online,0,99.45,6,2,0,0,187,0,0,1,Aug,Monday,train
INN19242,2,Meal Plan 1,Room_Type 1,Offline,0,110.0,4,1,0,0,245,0,0,0,Jul,Friday,train
INN09510,0,Meal Plan 1,Room_Type 1,Online,0,158.0,2,2,1,0,7,0,0,0,Dec,Sunday,train
INN18204,1,Meal Plan 1,Room_Type 1,Online,0,97.0,0,2,0,0,17,0,0,2,Dec,Thursday,train
INN21760,0,Meal Plan 1,Room_Type 1,Offline,0,120.0,1,1,0,0,182,0,0,0,Oct,Friday,train
INN28349,0,Meal Plan 2,Room_Type 1,Offline,0,115.0,2,2,0,0,265,0,0,1,Jun,Sunday,train
INN35970,1,Not Selected,Room_Type 1,Online,0,79.0,1,2,0,0,1,0,0,1,Jun,Wednesday,train
INN05244,1,Meal Plan 2,Room_Type 4,Offline,0,108.2,3,2,0,0,21,0,0,0,Mar,Wednesday,train
INN15473,0,Meal Plan 2,Room_Type 1,Offline,0,109.0,2,2,0,0,256,0,0,0,Jun,Friday,train
INN07225,2,Not Selected,Room_Type 1,Online,0,72.75,2,2,0,0,192,0,0,2,Dec,Tuesday,train
INN01463,2,Meal Plan 1,Room_Type 1,Online,0,90.3,1,2,0,0,95,0,0,1,Apr,Tuesday,train
INN03023,2,Meal Plan 1,Room_Type 1,Online,0,61.88,2,2,0,0,17,0,0,1,Feb,Tuesday,train
