booking_id,number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,type_of_meal,car_parking_space,room_type,lead_time,market_segment_type,is_repeat_guest,num_previous_cancellations,num_previous_bookings_not_canceled,average_price,special_requests,month_of_reservation,day_of_week,is_cancellation
INN03105,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,0.0,0,Nov,Monday,0
INN35124,2,0,2,3,Not Selected,0,Room_Type 1,90,Online,0,0,0,74.8,1,Dec,Monday,0
INN07178,2,0,1,2,Meal Plan 1,0,Room_Type 1,121,Online,0,0,0,90.0,0,Jun,Sunday,1
INN03870,1,0,0,3,Meal Plan 1,0,Room_Type 1,151,Offline,0,0,0,80.0,0,Jan,Friday,0
INN16384,2,0,2,1,Not Selected,0,Room_Type 1,31,Offline,0,0,0,63.0,0,Dec,Monday,0
INN12827,1,0,2,0,Meal Plan 1,0,Room_Type 1,0,Corporate,1,1,2,65.0,0,Sep,Wednesday,0
INN25524,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,Offline,0,0,0,100.0,0,Oct,Monday,0
INN25455,0,2,0,1,Meal Plan 1,0,Room_Type 2,193,Online,0,0,0,86.5,0,Jul,Sunday,1
INN28954,2,0,1,4,Meal Plan 1,0,Room_Type 1,142,Offline,0,0,0,72.25,2,Jul,Friday,0
INN15072,2,0,1,0,Meal Plan 1,0,Room_Type 1,96,Offline,0,0,0,63.75,0,Jul,Thursday,0
INN09566,2,0,1,4,Meal Plan 1,1,Room_Type 4,17,Online,0,0,0,144.84,1,Jun,Friday,0
INN31514,2,0,1,1,Meal Plan 1,0,Room_Type 1,180,Offline,0,0,0,100.0,1,May,Wednesday,0
INN14832,2,0,2,3,Meal Plan 1,0,Room_Type 1,359,Offline,0,0,0,78.0,3,Oct,Sunday,0
INN16040,2,0,2,1,Meal Plan 1,0,Room_Type 1,197,Online,0,0,0,108.9,0,Oct,Monday,1
INN15761,2,0,1,2,Meal Plan 1,0,Room_Type 1,207,Offline,0,0,0,95.0,0,Dec,Sunday,0
INN03475,2,0,1,3,Meal Plan 1,0,Room_Type 1,245,Online,0,0,0,145.8,1,Dec,Saturday,0
INN15942,1,0,1,3,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,174.25,1,Nov,Wednesday,0
INN26665,2,2,0,3,Meal Plan 1,0,Room_Type 6,5,Online,0,0,0,230.0,2,May,Saturday,0
INN35562,2,0,0,4,Meal Plan 1,0,Room_Type 1,22,Online,0,0,0,115.0,2,Oct,Friday,0
INN24937,1,0,0,1,Meal Plan 1,0,Room_Type 1,47,Online,0,0,0,99.9,0,Apr,Thursday,1
INN24942,2,0,0,3,Meal Plan 1,0,Room_Type 1,279,Offline,0,0,0,110.0,0,Oct,Friday,1
INN05609,2,0,0,3,Meal Plan 1,0,Room_Type 1,112,Offline,0,0,0,120.0,1,Jun,Saturday,0
INN00492,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,Oct,Saturday,0
INN04163,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,Offline,0,0,0,100.0,0,Oct,Monday,0
INN30407,2,0,1,2,Meal Plan 1,0,Room_Type 1,19,Online,0,0,0,105.0,2,Sep,Thursday,0
INN31619,2,0,0,5,Meal Plan 1,0,Room_Type 1,29,Online,0,0,0,88.4,2,Nov,Thursday,0
INN18168,2,0,0,2,Meal Plan 2,0,Room_Type 1,28,Offline,0,0,0,97.0,0,Jan,Monday,0
INN07635,2,0,0,2,Meal Plan 1,0,Room_Type 1,44,Offline,0,0,0,75.0,0,Nov,Friday,0
INN15800,2,0,1,2,Meal Plan 2,0,Room_Type 1,309,Offline,0,0,0,101.0,0,May,Sunday,1
INN05577,3,0,1,0,Meal Plan 1,0,Room_Type 4,119,Online,0,0,0,162.0,1,Sep,Wednesday,0
INN02975,2,0,1,0,Meal Plan 1,0,Room_Type 1,5,Online,0,0,0,167.0,0,Aug,Tuesday,1
INN31083,2,0,0,2,Not Selected,0,Room_Type 1,45,Online,0,0,0,94.5,1,Apr,Friday,0
INN33348,2,0,1,1,Not Selected,0,Room_Type 1,165,Online,0,0,0,80.1,2,Nov,Monday,0
INN15292,2,0,0,3,Not Selected,0,Room_Type 1,9,Offline,0,0,0,75.0,0,Jul,Friday,0
INN19727,2,0,0,4,Not Selected,0,Room_Type 1,178,Online,0,0,0,89.25,0,Aug,Friday,1
INN18449,2,0,0,4,Meal Plan 2,0,Room_Type 1,100,Offline,0,0,0,140.0,1,Sep,Friday,0
INN15379,2,0,0,3,Meal Plan 1,0,Room_Type 4,57,Offline,0,0,0,60.0,0,Nov,Friday,0
INN28986,2,0,1,2,Meal Plan 1,0,Room_Type 1,106,Online,0,0,0,118.8,1,Oct,Sunday,1
INN35276,2,0,1,0,Not Selected,0,Room_Type 1,260,Online,0,0,0,67.5,2,Dec,Tuesday,0
INN05266,2,2,1,2,Meal Plan 2,0,Room_Type 6,31,Online,0,0,0,233.1,1,Sep,Sunday,0
INN25950,2,0,1,3,Not Selected,0,Room_Type 1,99,Online,0,0,0,94.5,0,Jul,Wednesday,1
INN06542,1,0,0,2,Meal Plan 2,0,Room_Type 1,286,Offline,0,0,0,91.0,0,Sep,Sunday,0
INN34622,0,2,1,4,Meal Plan 1,0,Room_Type 2,136,Online,0,0,0,76.16,0,Nov,Wednesday,1
INN00554,1,0,0,1,Meal Plan 1,0,Room_Type 4,8,Complementary,0,0,0,0.0,2,Apr,Monday,0
INN34817,3,0,0,1,Meal Plan 1,0,Room_Type 4,48,Online,0,0,0,142.2,2,Sep,Sunday,0
INN10764,2,0,0,3,Meal Plan 1,0,Room_Type 1,2,Corporate,1,0,1,86.0,1,Dec,Friday,0
INN28805,2,0,0,3,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,81.86,1,Dec,Saturday,0
INN15888,2,0,2,5,Meal Plan 1,0,Room_Type 4,85,Online,0,0,0,97.02,2,Apr,Saturday,0
INN34283,2,0,2,3,Meal Plan 1,0,Room_Type 1,47,Online,0,0,0,135.9,1,Aug,Monday,1
INN01317,1,0,0,2,Meal Plan 1,0,Room_Type 1,64,Corporate,0,0,0,130.0,0,May,Thursday,0
INN26609,2,0,2,9,Meal Plan 1,0,Room_Type 1,72,Offline,0,0,0,58.91,1,Dec,Saturday,0
INN15733,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,0,0,0,101.5,0,Aug,Monday,0
INN19892,2,0,2,2,Meal Plan 1,0,Room_Type 1,39,Online,0,0,0,94.5,2,Oct,Wednesday,0
INN27394,2,0,2,5,Meal Plan 1,0,Room_Type 1,26,Online,0,0,0,95.96,1,Oct,Tuesday,0
INN09878,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,Offline,0,0,0,110.0,0,Nov,Thursday,1
INN34611,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,Offline,0,0,0,100.0,0,Oct,Monday,0
INN33326,3,0,1,1,Meal Plan 1,0,Room_Type 4,204,Online,0,0,0,168.3,2,Sep,Wednesday,1
INN34002,2,0,1,1,Not Selected,0,Room_Type 1,37,Online,0,0,0,108.0,2,Sep,Wednesday,0
INN31163,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,Offline,0,0,0,120.0,0,Jun,Tuesday,1
INN18022,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,0,0,0,101.5,0,Oct,Monday,1
INN30778,2,0,0,1,Meal Plan 1,0,Room_Type 1,43,Online,0,0,0,74.88,0,Dec,Thursday,0
INN11515,2,0,1,1,Not Selected,1,Room_Type 1,18,Online,0,0,0,127.0,2,Sep,Monday,0
INN00420,2,0,1,1,Meal Plan 1,0,Room_Type 1,180,Offline,0,0,0,100.0,1,May,Wednesday,0
INN36159,3,0,0,3,Meal Plan 1,0,Room_Type 4,5,Online,0,0,0,157.0,2,Apr,Saturday,0
INN31801,2,2,0,2,Meal Plan 1,0,Room_Type 6,146,Online,0,0,0,186.3,0,Aug,Saturday,0
INN16099,2,0,1,2,Meal Plan 1,0,Room_Type 4,110,Online,0,0,0,104.4,1,Oct,Sunday,0
INN23956,2,0,0,1,Meal Plan 1,0,Room_Type 1,147,Offline,0,0,0,130.0,0,Sep,Thursday,1
INN30409,2,0,1,3,Meal Plan 1,0,Room_Type 4,38,Online,0,0,0,95.48,1,Oct,Wednesday,0
INN03580,2,0,0,3,Not Selected,0,Room_Type 1,76,Online,0,0,0,94.5,1,Apr,Saturday,0
INN23054,1,0,2,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,134.0,0,Jul,Tuesday,0
INN02108,2,1,1,2,Meal Plan 1,0,Room_Type 6,64,Online,0,0,0,162.4,1,Nov,Sunday,0
INN19452,2,0,0,3,Meal Plan 2,0,Room_Type 1,34,Offline,0,0,0,224.67,0,Sep,Saturday,1
